Category,Value,Answer,Option A,Option B,Option C,Option D,Correct Question
Customer Discovery Basics,100,This is the iterative process of gathering data to understand customer needs and validate assumptions.,What is customer discovery?,What is product development?,What is financial forecasting?,What is market segmentation?,0
Customer Discovery Basics,200,This is the term for a potential customer you believe might benefit from your product or service.,What is a target customer?,What is an investor?,What is a competitor?,What is a stakeholder?,0
Customer Discovery Basics,300,This should be done continuously throughout the development process, not just at the beginning.,What is customer discovery?,What is product design?,What is team formation?,What is fundraising?,0
Customer Discovery Basics,400,This type of data provides rich insights into customer motivations, behaviors, and pain points through interviews and observations.,What is qualitative data?,What is quantitative data?,What is market share data?,What is financial data?,0
Customer Discovery Basics,500,This is the primary goal of customer discovery.,What is to validate or invalidate your assumptions?,What is to secure funding?,What is to build a prototype?,What is to define your target market?,0
"Interview Techniques,100,This type of interview question encourages detailed responses and helps uncover deeper insights (e.g., ""Tell me about a time when..."").,What is an open-ended question?,What is a closed-ended question?,What is a leading question?,What is a multiple-choice question?,0"
"Interview Techniques,200,This is the problem with asking customers directly, ""Would you buy this product?"",What is it biases them toward a positive answer?,What is it's too direct?,What is it's too early in the process?,What is it reveals too much about your solution?,0"
Interview Techniques,300,During customer interviews, it's important to do this with your assumptions.,What is test them?,What is confirm them?,What is ignore them?,What is hide them?,0
Interview Techniques,400,This is the most effective way to gather unbiased feedback during customer interviews.,What is listening more than talking?,What is pitching your solution?,What is asking leading questions?,What is interrupting frequently?,0
Interview Techniques,500,This is a common mistake to avoid when conducting customer interviews.,What is focusing on the problem, not the solution?,What is asking about past experiences?,What is building rapport with the interviewee?,What is talking too much about your idea?,3
Market Validation,100,This is the process of determining whether there's a genuine need and demand for your product or service.,What is market validation?,What is product validation?,What is financial validation?,What is team validation?,0
Market Validation,200,This is a key indicator that you've identified a real problem worth solving.,What is customer willingness to pay or engage?,What is investor interest?,What is media coverage?,What is a large social media following?,0
Market Validation,300,This is the term for the smallest possible group of customers you can target initially to test your assumptions.,What is a minimum viable segment?,What is a mass market?,What is a niche market?,What is a total addressable market?,0
Market Validation,400,This type of research involves gathering existing data from reports, articles, and databases.,What is secondary research?,What is primary research?,What is experimental research?,What is observational research?,0
Market Validation,500,This is the danger of relying solely on secondary research for market validation.,What is it may not be specific enough to your target customer or problem?,What is it's too expensive?,What is it's too time-consuming?,What is it's not reliable?,0
